brand,model,car_name,car_category,  price  ,trim,  kilometers  ,year, vehicle_age_years ,regional_specs,doors,body_type,fuel_type,seating_capacity,transmission_type,engine_capacity_cc,horsepower,no_of_cylinders,exterior_color,interior_color,warranty,address,country,city,area_name,location_name,seller_type,lat,long
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"5,500,000",G 63 AMG,50,2023,1,European Specs,2,SUV,Petrol,4,Automatic Transmission,3500 - 3999,800 - 899,8,Black,Unknown,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"4,830,000",G 63 AMG,30,2023,1,European Specs,2,SUV,Petrol,4,Automatic Transmission,4000+,900+,8,Black,Black,Does not apply,"Port Saeed, Deira, Dubai, UAE",UAE,Dubai,Deira,Port Saeed,Dealer,25.167737,55.231018
Rolls-Royce,Ghost,Rolls-Royce Ghost,Premium_fullsized_car,"3,200,000",Black Badge,543,2024, -   ,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Brown,Brown,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.167737,55.231018
Rolls-Royce,Phantom,Rolls-Royce Phantom,Premium_fullsized_car,"3,199,000",Extended Wheel Base,  -    ,2024, -   ,European Specs,4,Sedan,Petrol,,Automatic Transmission,,500 - 599,12,Black,White,Does not apply,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.1790137,55.379422
Rolls-Royce,Ghost,Rolls-Royce Ghost,Premium_fullsized_car,"3,100,000",Black Badge,"1,938",2023,1,GCC Specs,2,Coupe,Petrol,4,Automatic Transmission,4000+,600 - 699,12,Grey,Black,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Certified Pre-Owned,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"4,000,000",G 63 AMG,267,2021,3,Other,4,SUV,Petrol,6,Automatic Transmission,4000+,800 - 899,8,Burgundy,Other Color,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"3,900,000",G 63 AMG,"8,229",2018,6,GCC Specs,4,Pick Up Truck,Petrol,5,Automatic Transmission,4000+,,8,Black,Tan,No,"Al Quoz 3, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 3,Dealer,25.167737,55.231018
Rolls-Royce,Phantom,Rolls-Royce Phantom,Premium_fullsized_car,"2,950,000",Extended Wheel Base,"16,291",2022,2,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Gold,Tan,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1790137,55.379422
Porsche,Carrera GT,Porsche Carrera GT,Hypercar,"5,800,000",GT,"14,575",2006,18,Japanese Specs,2,Hard Top Convertible,Petrol,2,Manual Transmission,4000+,600 - 699,10,Silver,Brown,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Phantom,Rolls-Royce Phantom,Premium_fullsized_car,"2,750,000",Extended Wheel Base,  -    ,2023,1,European Specs,4,Sedan,Petrol,4,Automatic Transmission,4000+,500 - 599,12,White,Blue,Yes,"Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,,Owner,25.1790137,55.379422
